ID,Nombre,LastName,Products,Child,Other,Description,average,Salary,Salary Neto,Location,Image,Gallery,File,Color,Hashtags,BirthDate,LastLogin,Record,Active,Created
"1362","Angle","","...","[N/A]","[N/A]","","88","200","176","18.4830264;-69.92134759999999;Plaza METROPOLITANA, Av. John F. Kennedy, Santo Domingo, República Dominicana","","","","rgb(255, 153, 0)","Hola","","","","Si","9/2/2019 8:37 "
"1361","Angel desde mobile","Rodriguez","...","Other","Punch","","80","2000","1600","18.4838217;-69.92080629999998;Av Ortega y Gasset 21, Santo Domingo, República Dominicana","","","","rgb(61, 133, 198)","Hola,test","4/2/2019 20:0 ","5/2/2019 18:0 ","2/0/1970 17:0 ","Si","5/2/2019 21:22 "
"1358","Angel","Test","...","Other","Two","","80","5","4","","","","","hsv(0, 59%, 63%)","Hola,test","13/1/2019 20:0 ","29/2/2019 21:26 ","32/11/1969 22:0 ","Si","25/1/2019 21:34 "
"1271","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","25/4/2018 15:22 "
"1261","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","26/4/2018 15:22 "
"1251","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","27/4/2018 15:22 "
"1241","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","28/4/2018 15:22 "
"1231","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","29/4/2018 15:22 "
"1221","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","30/4/2018 15:22 "
"1211","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","31/4/2018 15:22 "
"1201","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","32/4/2018 15:22 "
"1191","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","2/5/2018 15:22 "
"1181","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","3/5/2018 15:22 "
"1171","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","4/5/2018 15:22 "
"1161","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","5/5/2018 15:22 "
"1151","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","6/5/2018 15:22 "
"1141","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","7/5/2018 15:22 "
"1131","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","8/5/2018 15:22 "
"1121","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","9/5/2018 15:22 "
"1111","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","10/5/2018 15:22 "
"1101","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","11/5/2018 15:22 "
"1091","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","12/5/2018 15:22 "
"1081","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","13/5/2018 15:22 "
"1071","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","14/5/2018 15:22 "
"1061","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","15/5/2018 15:22 "
"1051","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","16/5/2018 15:22 "
"1041","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","17/5/2018 15:22 "
"1031","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","18/5/2018 15:22 "
"1021","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","19/5/2018 15:22 "
"1011","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","20/5/2018 15:22 "
"1001","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","21/5/2018 15:22 "
"991","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","22/5/2018 15:22 "
"981","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","23/5/2018 15:22 "
"971","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","24/5/2018 15:22 "
"961","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","25/5/2018 15:22 "
"951","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","26/5/2018 15:22 "
"941","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","27/5/2018 15:22 "
"931","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","28/5/2018 15:22 "
"921","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","29/5/2018 15:22 "
"911","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","30/5/2018 15:22 "
"901","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","31/5/2018 15:22 "
"891","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","2/6/2018 15:22 "
"881","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","3/6/2018 15:22 "
"871","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","4/6/2018 15:22 "
"861","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","5/6/2018 15:22 "
"851","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","6/6/2018 15:22 "
"841","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","7/6/2018 15:22 "
"831","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","8/6/2018 15:22 "
"821","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","9/6/2018 15:22 "
"811","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","10/6/2018 15:22 "
"801","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","11/6/2018 15:22 "
"791","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","12/6/2018 15:22 "
"781","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","13/6/2018 15:22 "
"771","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","14/6/2018 15:22 "
"761","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","15/6/2018 15:22 "
"751","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","16/6/2018 15:22 "
"741","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","17/6/2018 15:22 "
"731","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","18/6/2018 15:22 "
"721","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","19/6/2018 15:22 "
"711","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","20/6/2018 15:22 "
"701","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","21/6/2018 15:22 "
"691","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","22/6/2018 15:22 "
"681","A","","...","[N/A]","[N/A]","Otro","","","","","","","","","","","","","Si","23/6/2018 15:22 "
